V1	V2	V3	V4	V5	V6	V7	V8	V9
chr12	7639843	7640221	H3K9me3_chr12_broad_rmdup_peak_600	52	.	4.94451	7.82075	5.20364
chr12	7751952	7752618	H3K9me3_chr12_broad_rmdup_peak_610	90	.	6.01293	12.1239	9.04244
chr12	8141477	8142460	H3K9me3_chr12_broad_rmdup_peak_639	51	.	4.04098	7.72901	5.12237
chr12	8166061	8166205	H3K9me3_chr12_broad_rmdup_peak_650	50	.	4.53914	7.61884	5.00502
chr12	8183375	8184918	H3K9me3_chr12_broad_rmdup_peak_652	52	.	4.96216	7.89507	5.28134
chr12	8344519	8348375	H3K9me3_chr12_broad_rmdup_peak_687	69	.	3.962	9.78543	6.94875
chr12	8495490	8496022	H3K9me3_chr12_broad_rmdup_peak_706	52	.	4.24568	7.87373	5.25113
chr12	8624352	8625256	H3K9me3_chr12_broad_rmdup_peak_726	52	.	4.57081	7.8967	5.29264
chr12	8900658	8901253	H3K9me3_chr12_broad_rmdup_peak_765	51	.	3.42114	7.76821	5.16543
chr12	8953117	8953563	H3K9me3_chr12_broad_rmdup_peak_769	73	.	5.3139	10.2253	7.33161
chr12	8964442	8964534	H3K9me3_chr12_broad_rmdup_peak_773	50	.	4.03391	7.63146	5.0224
chr12	8965262	8965310	H3K9me3_chr12_broad_rmdup_peak_774	78	.	4.90182	10.7773	7.81109
chr12	8966869	8966920	H3K9me3_chr12_broad_rmdup_peak_777	52	.	4.10715	7.92911	5.27589
chr12	9003837	9003901	H3K9me3_chr12_broad_rmdup_peak_779	57	.	5.1378	8.45247	5.74716
chr12	9336419	9337344	H3K9me3_chr12_broad_rmdup_peak_807	52	.	3.39128	7.84592	5.22427
chr12	9449841	9450035	H3K9me3_chr12_broad_rmdup_peak_813	91	.	6.08751	12.2095	9.11502
chr12	9526620	9527445	H3K9me3_chr12_broad_rmdup_peak_821	76	.	5.90181	10.5228	7.64242
chr12	9632480	9633238	H3K9me3_chr12_broad_rmdup_peak_835	53	.	3.93004	7.9972	5.3819
chr12	9637347	9637543	H3K9me3_chr12_broad_rmdup_peak_836	53	.	4.33287	8.04324	5.38091
chr12	9645343	9645392	H3K9me3_chr12_broad_rmdup_peak_839	51	.	3.6667	7.77884	5.16632
chr12	9739616	9739945	H3K9me3_chr12_broad_rmdup_peak_854	65	.	5.73445	9.34586	6.59628
chr12	9851429	9851477	H3K9me3_chr12_broad_rmdup_peak_862	55	.	5.3274	8.27279	5.58429
chr12	9875925	9876571	H3K9me3_chr12_broad_rmdup_peak_863	59	.	5.28643	8.56899	5.93269
chr12	9903100	9903167	H3K9me3_chr12_broad_rmdup_peak_868	55	.	5.15016	8.24549	5.55399
chr12	9904070	9904138	H3K9me3_chr12_broad_rmdup_peak_869	50	.	5.00153	7.65809	5.03741
chr12	10029981	10030457	H3K9me3_chr12_broad_rmdup_peak_894	58	.	5.10472	8.49928	5.83109
chr12	10225352	10225619	H3K9me3_chr12_broad_rmdup_peak_915	71	.	6.04715	9.95883	7.1018
chr12	10298497	10298975	H3K9me3_chr12_broad_rmdup_peak_926	55	.	4.54508	8.27537	5.59431
chr12	10342014	10342143	H3K9me3_chr12_broad_rmdup_peak_931	53	.	4.68129	8.05757	5.38283
chr12	10348515	10348681	H3K9me3_chr12_broad_rmdup_peak_935	52	.	4.31821	7.88591	5.23904
chr12	10349112	10349171	H3K9me3_chr12_broad_rmdup_peak_936	54	.	4.73823	8.16512	5.49279
chr12	10477428	10479031	H3K9me3_chr12_broad_rmdup_peak_953	50	.	3.98236	7.5934	5.00096
chr12	10519178	10519241	H3K9me3_chr12_broad_rmdup_peak_964	58	.	3.80511	8.63203	5.89867
chr12	10537346	10537658	H3K9me3_chr12_broad_rmdup_peak_967	63	.	4.03346	9.15423	6.39264
chr12	10564567	10564667	H3K9me3_chr12_broad_rmdup_peak_971	50	.	3.9365	7.66938	5.0631
chr12	10580490	10580637	H3K9me3_chr12_broad_rmdup_peak_974	63	.	3.429	9.06543	6.30502
chr12	10743817	10743876	H3K9me3_chr12_broad_rmdup_peak_986	68	.	4.59362	9.65165	6.81339
chr12	10747666	10748307	H3K9me3_chr12_broad_rmdup_peak_990	51	.	4.13472	7.78937	5.18021
chr12	10754995	10756688	H3K9me3_chr12_broad_rmdup_peak_991	56	.	4.33196	8.27649	5.60463
chr12	10855617	10856873	H3K9me3_chr12_broad_rmdup_peak_996	51	.	4.96022	7.70516	5.10645
chr12	10906513	10906606	H3K9me3_chr12_broad_rmdup_peak_998	55	.	4.99331	8.29326	5.58937
chr12	11108541	11109216	H3K9me3_chr12_broad_rmdup_peak_1014	50	.	4.7351	7.64969	5.05292
chr12	11213848	11214273	H3K9me3_chr12_broad_rmdup_peak_1028	61	.	4.73375	8.92553	6.19688
chr12	11340164	11340536	H3K9me3_chr12_broad_rmdup_peak_1066	66	.	4.88452	9.46963	6.64949
chr12	11416178	11417629	H3K9me3_chr12_broad_rmdup_peak_1078	56	.	4.89838	8.27294	5.62937
chr12	11458388	11458548	H3K9me3_chr12_broad_rmdup_peak_1083	76	.	6.00997	10.5426	7.62456
chr12	12107664	12107957	H3K9me3_chr12_broad_rmdup_peak_1127	61	.	5.34976	8.88209	6.13043
chr12	12410642	12410762	H3K9me3_chr12_broad_rmdup_peak_1144	52	.	4.02651	7.83586	5.22397
chr12	12414437	12414743	H3K9me3_chr12_broad_rmdup_peak_1145	60	.	5.44528	8.82671	6.07537
chr12	12415063	12415137	H3K9me3_chr12_broad_rmdup_peak_1146	106	.	6.12438	13.873	10.601
chr12	12415361	12415524	H3K9me3_chr12_broad_rmdup_peak_1147	66	.	4.45971	9.42028	6.6391
chr12	12565485	12566287	H3K9me3_chr12_broad_rmdup_peak_1153	72	.	5.72022	10.1116	7.26406
chr12	12617971	12619038	H3K9me3_chr12_broad_rmdup_peak_1159	68	.	4.94723	9.61347	6.82732
chr12	12639665	12640735	H3K9me3_chr12_broad_rmdup_peak_1160	52	.	3.44659	7.87136	5.23321
chr12	13219441	13219506	H3K9me3_chr12_broad_rmdup_peak_1191	63	.	4.75031	9.09947	6.31843
chr12	13396312	13396375	H3K9me3_chr12_broad_rmdup_peak_1204	69	.	4.39089	9.7931	6.94213
chr12	13400007	13400063	H3K9me3_chr12_broad_rmdup_peak_1208	70	.	4.29709	9.90603	7.05172
chr12	14085019	14085070	H3K9me3_chr12_broad_rmdup_peak_1240	53	.	3.89493	7.97123	5.32092
chr12	14297328	14297612	H3K9me3_chr12_broad_rmdup_peak_1272	61	.	4.30172	8.95419	6.19172
chr12	14320249	14320636	H3K9me3_chr12_broad_rmdup_peak_1275	53	.	4.62364	8.01703	5.37503
chr12	14350760	14352417	H3K9me3_chr12_broad_rmdup_peak_1283	73	.	4.48742	10.1776	7.30324
chr12	14354701	14355114	H3K9me3_chr12_broad_rmdup_peak_1286	74	.	5.50192	10.3199	7.43409
chr12	14745700	14746227	H3K9me3_chr12_broad_rmdup_peak_1311	59	.	3.46307	8.71207	5.97779
chr12	14760633	14761245	H3K9me3_chr12_broad_rmdup_peak_1315	50	.	3.76281	7.59649	5.01145
chr12	15874284	15874858	H3K9me3_chr12_broad_rmdup_peak_1376	51	.	4.47322	7.79313	5.19777
chr12	15945137	15945190	H3K9me3_chr12_broad_rmdup_peak_1380	61	.	3.65795	8.93043	6.16166
chr12	15948762	15948823	H3K9me3_chr12_broad_rmdup_peak_1385	55	.	4.61668	8.28573	5.59481
chr12	15949034	15949820	H3K9me3_chr12_broad_rmdup_peak_1386	80	.	4.71986	11.0044	8.02468
chr12	16013522	16015123	H3K9me3_chr12_broad_rmdup_peak_1389	50	.	3.68288	7.67617	5.087
chr12	16057676	16057809	H3K9me3_chr12_broad_rmdup_peak_1397	61	.	5.69963	8.92057	6.15128
chr12	16126438	16126489	H3K9me3_chr12_broad_rmdup_peak_1405	62	.	5.45943	9.02071	6.24302
chr12	16382402	16383113	H3K9me3_chr12_broad_rmdup_peak_1432	51	.	4.08582	7.67812	5.11017
chr12	16708889	16709196	H3K9me3_chr12_broad_rmdup_peak_1445	64	.	4.10817	9.21101	6.43155
chr12	17003003	17003308	H3K9me3_chr12_broad_rmdup_peak_1462	51	.	4.47647	7.78025	5.16607
chr12	17097697	17097898	H3K9me3_chr12_broad_rmdup_peak_1472	105	.	4.34918	13.8577	10.5629
chr12	17560523	17560696	H3K9me3_chr12_broad_rmdup_peak_1529	59	.	4.89667	8.70607	5.98051
chr12	17617128	17618122	H3K9me3_chr12_broad_rmdup_peak_1537	62	.	3.90792	8.94731	6.21687
chr12	17704963	17705519	H3K9me3_chr12_broad_rmdup_peak_1558	64	.	5.3689	9.15415	6.40559
chr12	17808315	17808458	H3K9me3_chr12_broad_rmdup_peak_1578	58	.	4.07506	8.54492	5.83866
chr12	17825160	17825354	H3K9me3_chr12_broad_rmdup_peak_1581	53	.	3.98767	7.9515	5.35189
chr12	17825907	17825970	H3K9me3_chr12_broad_rmdup_peak_1582	66	.	4.31461	9.40772	6.60189
chr12	17860957	17861035	H3K9me3_chr12_broad_rmdup_peak_1591	55	.	3.02847	8.22398	5.5483
chr12	18025650	18025775	H3K9me3_chr12_broad_rmdup_peak_1612	77	.	4.87098	10.6436	7.7181
chr12	18039836	18040862	H3K9me3_chr12_broad_rmdup_peak_1622	53	.	4.44932	8.0186	5.39754
chr12	18062596	18063281	H3K9me3_chr12_broad_rmdup_peak_1624	70	.	3.97436	9.91852	7.064
chr12	18127030	18128625	H3K9me3_chr12_broad_rmdup_peak_1636	53	.	3.50076	7.96446	5.35316
chr12	18200491	18200567	H3K9me3_chr12_broad_rmdup_peak_1642	59	.	4.08751	8.723	5.97996
chr12	18202503	18202556	H3K9me3_chr12_broad_rmdup_peak_1643	50	.	4.59488	7.66513	5.03925
chr12	18711014	18711062	H3K9me3_chr12_broad_rmdup_peak_1681	69	.	4.73562	9.80876	6.9575
chr12	18785301	18785688	H3K9me3_chr12_broad_rmdup_peak_1692	60	.	3.37515	8.78857	6.05787
chr12	18786332	18786665	H3K9me3_chr12_broad_rmdup_peak_1694	51	.	3.74049	7.78635	5.17962
chr12	18895352	18895479	H3K9me3_chr12_broad_rmdup_peak_1704	53	.	3.65507	7.95542	5.32514
chr12	19567848	19567899	H3K9me3_chr12_broad_rmdup_peak_1742	61	.	4.82654	8.93011	6.15933
chr12	19725913	19725976	H3K9me3_chr12_broad_rmdup_peak_1766	86	.	4.75221	11.6957	8.64681
chr12	19730372	19730429	H3K9me3_chr12_broad_rmdup_peak_1768	52	.	4.75779	7.8563	5.21847
chr12	19733437	19734822	H3K9me3_chr12_broad_rmdup_peak_1773	50	.	4.39593	7.595	5.00009
chr12	19738527	19738583	H3K9me3_chr12_broad_rmdup_peak_1774	51	.	5.26231	7.75571	5.13237
chr12	19814513	19815863	H3K9me3_chr12_broad_rmdup_peak_1780	74	.	4.72777	10.3393	7.46224
chr12	20115009	20116325	H3K9me3_chr12_broad_rmdup_peak_1811	61	.	4.9109	8.91196	6.18022
chr12	20668822	20668875	H3K9me3_chr12_broad_rmdup_peak_1851	65	.	5.66819	9.33704	6.52053
chr12	20770063	20770119	H3K9me3_chr12_broad_rmdup_peak_1864	77	.	4.12341	10.7514	7.79625
chr12	20834825	20835203	H3K9me3_chr12_broad_rmdup_peak_1883	65	.	5.28644	9.31312	6.53756
chr12	20895373	20896555	H3K9me3_chr12_broad_rmdup_peak_1892	51	.	3.65843	7.70434	5.10753
chr12	20972585	20972801	H3K9me3_chr12_broad_rmdup_peak_1907	78	.	5.52032	10.8382	7.8887
chr12	21088163	21088548	H3K9me3_chr12_broad_rmdup_peak_1921	60	.	4.04727	8.75389	6.04836
chr12	21210584	21210654	H3K9me3_chr12_broad_rmdup_peak_1944	101	.	6.16222	13.4066	10.1765
chr12	21213081	21213451	H3K9me3_chr12_broad_rmdup_peak_1946	57	.	4.36346	8.42686	5.72768
chr12	21214167	21214227	H3K9me3_chr12_broad_rmdup_peak_1947	62	.	4.84261	9.05337	6.26835
chr12	21214432	21214957	H3K9me3_chr12_broad_rmdup_peak_1948	60	.	4.59967	8.7644	6.04002
chr12	21284323	21284559	H3K9me3_chr12_broad_rmdup_peak_1954	58	.	4.68144	8.51964	5.81692
chr12	21286910	21286975	H3K9me3_chr12_broad_rmdup_peak_1956	68	.	4.29756	9.6444	6.82119
chr12	21360446	21361590	H3K9me3_chr12_broad_rmdup_peak_1962	60	.	4.04139	8.76499	6.04345
chr12	21387575	21387837	H3K9me3_chr12_broad_rmdup_peak_1969	75	.	4.05664	10.4978	7.57444
chr12	21388043	21388384	H3K9me3_chr12_broad_rmdup_peak_1970	51	.	3.3812	7.7154	5.11526
chr12	21399676	21399990	H3K9me3_chr12_broad_rmdup_peak_1975	61	.	4.46585	8.87076	6.13435
chr12	21420617	21421084	H3K9me3_chr12_broad_rmdup_peak_1979	50	.	4.34292	7.58575	5.0294
chr12	21631392	21631696	H3K9me3_chr12_broad_rmdup_peak_2000	55	.	3.82502	8.19407	5.57524
chr12	21899447	21900185	H3K9me3_chr12_broad_rmdup_peak_2028	64	.	4.49434	9.26062	6.484
chr12	21967993	21968045	H3K9me3_chr12_broad_rmdup_peak_2043	61	.	3.80825	8.92195	6.15815
chr12	22007807	22008259	H3K9me3_chr12_broad_rmdup_peak_2044	53	.	4.13994	7.89891	5.30413
chr12	22023330	22024169	H3K9me3_chr12_broad_rmdup_peak_2047	77	.	4.28688	10.61	7.70412
chr12	22106149	22106199	H3K9me3_chr12_broad_rmdup_peak_2056	57	.	4.60589	8.44132	5.71966
chr12	22124826	22126418	H3K9me3_chr12_broad_rmdup_peak_2059	52	.	3.76706	7.87045	5.25827
chr12	22177990	22178042	H3K9me3_chr12_broad_rmdup_peak_2074	54	.	3.91939	8.15272	5.47653
chr12	22404742	22404882	H3K9me3_chr12_broad_rmdup_peak_2095	59	.	4.4714	8.61096	5.93352
chr12	22692363	22693601	H3K9me3_chr12_broad_rmdup_peak_2112	55	.	4.91768	8.20171	5.57401
chr12	23075775	23076519	H3K9me3_chr12_broad_rmdup_peak_2148	51	.	4.49885	7.73561	5.14291
chr12	23150379	23150506	H3K9me3_chr12_broad_rmdup_peak_2161	65	.	3.67096	9.27662	6.52207
chr12	23156532	23156582	H3K9me3_chr12_broad_rmdup_peak_2164	53	.	3.52881	7.99372	5.33975
chr12	23285903	23286937	H3K9me3_chr12_broad_rmdup_peak_2174	50	.	5.10727	7.66853	5.07612
chr12	23388755	23389898	H3K9me3_chr12_broad_rmdup_peak_2181	55	.	3.58572	8.13904	5.50868
chr12	23448774	23448829	H3K9me3_chr12_broad_rmdup_peak_2189	71	.	4.54345	9.98575	7.10265
chr12	23820634	23820682	H3K9me3_chr12_broad_rmdup_peak_2217	57	.	3.5143	8.50582	5.78079
chr12	24389096	24389204	H3K9me3_chr12_broad_rmdup_peak_2244	54	.	4.9594	8.12827	5.45169
chr12	24865938	24867110	H3K9me3_chr12_broad_rmdup_peak_2284	62	.	4.97581	9.00646	6.27714
chr12	24925596	24926454	H3K9me3_chr12_broad_rmdup_peak_2289	87	.	6.39017	11.7856	8.73064
chr12	25369466	25369653	H3K9me3_chr12_broad_rmdup_peak_2323	69	.	6.10563	9.83863	6.98703
chr12	25392057	25392317	H3K9me3_chr12_broad_rmdup_peak_2326	59	.	4.23388	8.62237	5.91945
chr12	25536721	25537364	H3K9me3_chr12_broad_rmdup_peak_2343	62	.	5.2378	8.99615	6.26191
chr12	25540759	25540815	H3K9me3_chr12_broad_rmdup_peak_2347	55	.	5.24999	8.25295	5.5662
chr12	25541464	25541531	H3K9me3_chr12_broad_rmdup_peak_2348	58	.	3.10041	8.53221	5.81095
chr12	25563808	25564261	H3K9me3_chr12_broad_rmdup_peak_2355	85	.	4.49535	11.5866	8.55597
chr12	25686704	25687232	H3K9me3_chr12_broad_rmdup_peak_2380	74	.	3.56628	10.3819	7.4559
chr12	25707830	25707893	H3K9me3_chr12_broad_rmdup_peak_2386	108	.	6.72085	14.1397	10.818
chr12	25728867	25729296	H3K9me3_chr12_broad_rmdup_peak_2388	54	.	4.22015	8.10396	5.44004
chr12	26669568	26670102	H3K9me3_chr12_broad_rmdup_peak_2428	55	.	5.04129	8.17998	5.52667
chr12	26671916	26671966	H3K9me3_chr12_broad_rmdup_peak_2431	62	.	3.36941	9.04865	6.26938
chr12	26785132	26785198	H3K9me3_chr12_broad_rmdup_peak_2446	119	.	8.48834	15.3423	11.9064
chr12	26839081	26839440	H3K9me3_chr12_broad_rmdup_peak_2450	75	.	4.89578	10.4734	7.54878
chr12	27210765	27210819	H3K9me3_chr12_broad_rmdup_peak_2483	69	.	5.71015	9.82477	6.95039
chr12	27404644	27405838	H3K9me3_chr12_broad_rmdup_peak_2490	75	.	4.38046	10.4964	7.57544
chr12	27873342	27874298	H3K9me3_chr12_broad_rmdup_peak_2516	68	.	5.65613	9.65628	6.85676
chr12	27906123	27906175	H3K9me3_chr12_broad_rmdup_peak_2518	59	.	4.39221	8.63323	5.90902
chr12	28006824	28007400	H3K9me3_chr12_broad_rmdup_peak_2526	62	.	4.57273	8.88339	6.23966
chr12	28200671	28200980	H3K9me3_chr12_broad_rmdup_peak_2542	58	.	4.50449	8.51152	5.84627
chr12	28273738	28273791	H3K9me3_chr12_broad_rmdup_peak_2555	55	.	5.1016	8.23634	5.53975
chr12	28399624	28400787	H3K9me3_chr12_broad_rmdup_peak_2567	50	.	4.2787	7.61109	5.0536
chr12	28752475	28752524	H3K9me3_chr12_broad_rmdup_peak_2606	50	.	3.56678	7.73003	5.09188
chr12	28752818	28752867	H3K9me3_chr12_broad_rmdup_peak_2607	53	.	3.14034	7.99039	5.33793
chr12	28754298	28755694	H3K9me3_chr12_broad_rmdup_peak_2609	52	.	3.80231	7.82926	5.22107
chr12	28763143	28763195	H3K9me3_chr12_broad_rmdup_peak_2614	51	.	5.14586	7.83436	5.18343
chr12	28901152	28902121	H3K9me3_chr12_broad_rmdup_peak_2621	53	.	4.94387	8.0124	5.3739
chr12	29248279	29248924	H3K9me3_chr12_broad_rmdup_peak_2654	51	.	3.82825	7.77455	5.16345
chr12	29256676	29256734	H3K9me3_chr12_broad_rmdup_peak_2655	69	.	5.57459	9.77682	6.92609
chr12	29268744	29269730	H3K9me3_chr12_broad_rmdup_peak_2657	59	.	3.61649	8.59513	5.90388
chr12	29323886	29324414	H3K9me3_chr12_broad_rmdup_peak_2666	54	.	3.98287	8.10197	5.45783
chr12	29407050	29407171	H3K9me3_chr12_broad_rmdup_peak_2676	61	.	4.0547	8.89542	6.16698
chr12	29638432	29638513	H3K9me3_chr12_broad_rmdup_peak_2694	55	.	5.29366	8.24649	5.55083
chr12	29801559	29802226	H3K9me3_chr12_broad_rmdup_peak_2705	54	.	3.0409	8.13664	5.49536
chr12	29811948	29812185	H3K9me3_chr12_broad_rmdup_peak_2708	55	.	4.31385	8.15539	5.50226
chr12	29831023	29831596	H3K9me3_chr12_broad_rmdup_peak_2714	62	.	4.47743	8.91572	6.21647
chr12	29848492	29849512	H3K9me3_chr12_broad_rmdup_peak_2718	52	.	3.89491	7.86051	5.25933
chr12	29850272	29850622	H3K9me3_chr12_broad_rmdup_peak_2720	52	.	3.80939	7.87365	5.24303
chr12	29909927	29911223	H3K9me3_chr12_broad_rmdup_peak_2729	66	.	4.41722	9.40884	6.61217
chr12	30272105	30272235	H3K9me3_chr12_broad_rmdup_peak_2768	55	.	3.55974	8.22659	5.55499
chr12	30272512	30273250	H3K9me3_chr12_broad_rmdup_peak_2769	72	.	4.97979	10.0538	7.22179
chr12	30889866	30889927	H3K9me3_chr12_broad_rmdup_peak_2849	62	.	4.0104	9.01255	6.24311
chr12	30894762	30895060	H3K9me3_chr12_broad_rmdup_peak_2855	56	.	4.18952	8.37344	5.69019
chr12	30947471	30947523	H3K9me3_chr12_broad_rmdup_peak_2860	53	.	3.61913	8.00742	5.34331
chr12	30947997	30948952	H3K9me3_chr12_broad_rmdup_peak_2861	63	.	3.25242	9.16224	6.38174
chr12	31167860	31167918	H3K9me3_chr12_broad_rmdup_peak_2878	95	.	6.06697	12.7576	9.58198
chr12	31553670	31554120	H3K9me3_chr12_broad_rmdup_peak_2904	55	.	4.67077	8.25821	5.5898
chr12	31707833	31708792	H3K9me3_chr12_broad_rmdup_peak_2913	77	.	3.61693	10.6672	7.71606
chr12	32054285	32054759	H3K9me3_chr12_broad_rmdup_peak_2957	65	.	4.91027	9.26591	6.52783
chr12	32562868	32564020	H3K9me3_chr12_broad_rmdup_peak_2998	55	.	5.32054	8.23234	5.5996
chr12	32809523	32809947	H3K9me3_chr12_broad_rmdup_peak_3011	51	.	4.48291	7.695	5.12637
chr12	32914781	32915985	H3K9me3_chr12_broad_rmdup_peak_3018	55	.	3.76927	8.2244	5.55129
chr12	32956221	32956584	H3K9me3_chr12_broad_rmdup_peak_3021	105	.	5.47472	13.833	10.5696
chr12	32960697	32960977	H3K9me3_chr12_broad_rmdup_peak_3025	55	.	4.01291	8.19181	5.51303
chr12	33016236	33018486	H3K9me3_chr12_broad_rmdup_peak_3034	51	.	3.63614	7.77304	5.16591
chr12	33020822	33020877	H3K9me3_chr12_broad_rmdup_peak_3035	62	.	5.56939	9.0333	6.2514
chr12	33022531	33023615	H3K9me3_chr12_broad_rmdup_peak_3037	53	.	5.11446	7.97883	5.36207
chr12	33075926	33076701	H3K9me3_chr12_broad_rmdup_peak_3046	58	.	3.97229	8.52763	5.83219
chr12	33103072	33103270	H3K9me3_chr12_broad_rmdup_peak_3051	53	.	3.50364	8.01317	5.37712
chr12	33107274	33108650	H3K9me3_chr12_broad_rmdup_peak_3055	50	.	4.34958	7.66852	5.08953
chr12	33152923	33153826	H3K9me3_chr12_broad_rmdup_peak_3065	54	.	3.75704	8.04996	5.40848
chr12	33200211	33200550	H3K9me3_chr12_broad_rmdup_peak_3081	82	.	4.84413	11.2693	8.29323
chr12	33227624	33228538	H3K9me3_chr12_broad_rmdup_peak_3086	50	.	4.93337	7.62475	5.03343
chr12	33229212	33229322	H3K9me3_chr12_broad_rmdup_peak_3087	78	.	3.75398	10.7141	7.81385
chr12	33259534	33259757	H3K9me3_chr12_broad_rmdup_peak_3100	52	.	3.99507	7.81202	5.20139
chr12	33260008	33260330	H3K9me3_chr12_broad_rmdup_peak_3101	73	.	4.74861	10.2631	7.35077
chr12	33281353	33282053	H3K9me3_chr12_broad_rmdup_peak_3105	50	.	3.19148	7.63022	5.01671
chr12	33282309	33282372	H3K9me3_chr12_broad_rmdup_peak_3106	76	.	4.96503	10.5436	7.61465
chr12	33332983	33333158	H3K9me3_chr12_broad_rmdup_peak_3116	60	.	4.24995	8.7205	6.05228
chr12	33333447	33334069	H3K9me3_chr12_broad_rmdup_peak_3117	53	.	4.14749	7.99717	5.35872
chr12	33738571	33739308	H3K9me3_chr12_broad_rmdup_peak_3169	61	.	4.38285	8.85748	6.12936
chr12	33739581	33739636	H3K9me3_chr12_broad_rmdup_peak_3170	58	.	2.9745	8.50433	5.80459
chr12	33775492	33775641	H3K9me3_chr12_broad_rmdup_peak_3177	53	.	3.4519	8.04165	5.37455
chr12	33789106	33790062	H3K9me3_chr12_broad_rmdup_peak_3180	57	.	4.01499	8.40215	5.72437
chr12	33848286	33849090	H3K9me3_chr12_broad_rmdup_peak_3196	54	.	4.83629	8.07822	5.46982
chr12	33858651	33859978	H3K9me3_chr12_broad_rmdup_peak_3203	59	.	4.46567	8.61213	5.95115
chr12	33930502	33931351	H3K9me3_chr12_broad_rmdup_peak_3221	60	.	4.62936	8.72779	6.01626
chr12	33935375	33935423	H3K9me3_chr12_broad_rmdup_peak_3226	54	.	4.08697	8.18798	5.49887
